,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,TSLA211105P00050000,50,USD,0.02,0.0,0.0,30.0,31,0.0,0.05,REGULAR,1636070400,1633022181,3.06250234375,False
1,TSLA211105P00200000,200,USD,0.08,-0.020000003000000002,-20.000004,2.0,38,0.0,0.1,REGULAR,1636070400,1633721967,1.60547072265625,False
2,TSLA211105P00250000,250,USD,0.26,0.0,0.0,6.0,5,0.0,0.47000000000000003,REGULAR,1636070400,1633549797,1.5605490722656241,False
3,TSLA211105P00300000,300,USD,0.34,-0.120000005,-26.086956,2.0,215,0.16,0.42,REGULAR,1636070400,1633620736,1.353518857421874,False
4,TSLA211105P00310000,310,USD,0.44,0.0,0.0,7.0,453,0.0,0.65,REGULAR,1636070400,1633447155,1.326175244140624,False
5,TSLA211105P00320000,320,USD,0.05,0.0,0.0,,3,0.2,0.7000000000000001,REGULAR,1636070400,1632762796,1.333011147460937,False
6,TSLA211105P00330000,330,USD,0.54,-0.13999999,-20.588232,6.0,1,0.13,0.76,REGULAR,1636070400,1633705455,1.288089497070312,False
7,TSLA211105P00340000,340,USD,0.55,0.0,0.0,4.0,126,0.27,0.84,REGULAR,1636070400,1633631870,1.281253593749999,False
8,TSLA211105P00350000,350,USD,0.64,-0.08000004000000001,-11.111115999999999,143.0,584,0.19,0.75,REGULAR,1636070400,1633720185,1.214847675781249,False
9,TSLA211105P00360000,360,USD,1.11,0.0,0.0,1.0,12,0.30000000000000004,0.99,REGULAR,1636070400,1633448609,1.22266013671875,False
10,TSLA211105P00370000,370,USD,1.4,0.0,0.0,2.0,91,0.37,1.08,REGULAR,1636070400,1633527990,1.201664147949218,False
11,TSLA211105P00380000,380,USD,1.02,-0.08000004000000001,-7.272731,1.0,112,0.44,1.1,REGULAR,1636070400,1633710485,1.171879140625,False
12,TSLA211105P00390000,390,USD,0.87,-0.79999995,-47.90419,9.0,60,0.54,1.24,REGULAR,1636070400,1633722441,1.156010079345703,False
13,TSLA211105P00400000,400,USD,1.05,-0.30000007,-22.222227,27.0,623,1.0,1.1400000000000001,REGULAR,1636070400,1633721999,1.147465200195312,False
14,TSLA211105P00410000,410,USD,1.31,-0.8400001500000001,-39.06977,20.0,164,0.73,1.45,REGULAR,1636070400,1633714892,1.112553265380859,False
15,TSLA211105P00420000,420,USD,1.45,0.00999999,0.69444376,10.0,150,0.85,1.58,REGULAR,1636070400,1633714892,1.092777973632812,False
16,TSLA211105P00430000,430,USD,1.58,-0.9699998999999999,-38.039215,103.0,60,0.99,1.72,REGULAR,1636070400,1633704604,1.073490960693359,False
17,TSLA211105P00440000,440,USD,1.74,-1.25,-41.806023,112.0,36,1.09,1.8900000000000001,REGULAR,1636070400,1633719520,1.052494971923828,False
18,TSLA211105P00450000,450,USD,2.02,-0.22000003,-9.82143,69.0,177,1.2,1.8,REGULAR,1636070400,1633714223,1.017338897705078,False
19,TSLA211105P00460000,460,USD,2.1,-1.1700001,-35.77982,3.0,107,1.42,2.34,REGULAR,1636070400,1633720592,1.018925803833007,False
20,TSLA211105P00470000,470,USD,2.35,-0.75,-24.19355,98.0,61,1.58,2.5700000000000003,REGULAR,1636070400,1633719709,0.9997558618164061,False
21,TSLA211105P00480000,480,USD,2.59,-0.51,-16.451614,9.0,106,1.82,2.83,REGULAR,1636070400,1633719709,0.9836427416992181,False
22,TSLA211105P00490000,490,USD,3.2,-0.14999986,-4.4776077,125.0,35,2.07,3.15,REGULAR,1636070400,1633709062,0.968262036132812,False
23,TSLA211105P00500000,500,USD,2.95,-0.8499998999999999,-22.36842,74.0,374,2.5,3.45,REGULAR,1636070400,1633723120,0.9561771960449211,False
24,TSLA211105P00510000,510,USD,3.73,-0.3699999,-9.024387,32.0,36,2.68,3.8,REGULAR,1636070400,1633714853,0.9361578649902341,False
25,TSLA211105P00520000,520,USD,4.15,-0.3499999,-7.777776,25.0,60,3.0,4.2,REGULAR,1636070400,1633713647,0.9200447448730461,False
26,TSLA211105P00530000,530,USD,4.2,-0.6500001,-13.402064,21.0,77,3.4,4.6,REGULAR,1636070400,1633718243,0.904358866577148,False
27,TSLA211105P00540000,540,USD,4.48,-0.8000001999999999,-15.151519,9.0,146,3.85,5.0,REGULAR,1636070400,1633723060,0.8881236773681641,False
28,TSLA211105P00550000,550,USD,5.0,-0.8000001999999999,-13.793106,77.0,193,4.35,5.55,REGULAR,1636070400,1633720920,0.8743909045410151,False
29,TSLA211105P00560000,560,USD,5.6,-0.8000001999999999,-12.500003,13.0,236,4.85,6.1,REGULAR,1636070400,1633719224,0.858766060791015,False
30,TSLA211105P00570000,570,USD,6.0,-0.9000001,-13.04348,52.0,104,5.45,6.6,REGULAR,1636070400,1633721128,0.8423477679443351,False
31,TSLA211105P00580000,580,USD,7.26,-0.3199997,-4.221632,13.0,285,6.1,7.05,REGULAR,1636070400,1633717132,0.824403611450195,False
32,TSLA211105P00590000,590,USD,7.87,-0.19999981,-2.4783125,33.0,148,6.75,8.1,REGULAR,1636070400,1633722929,0.814088773193359,False
33,TSLA211105P00600000,600,USD,8.49,-0.21000004,-2.4137936,45.0,206,7.7,8.5,REGULAR,1636070400,1633722929,0.79644978942871,False
34,TSLA211105P00610000,610,USD,8.71,-0.8900003400000001,-9.270837,85.0,391,8.45,9.55,REGULAR,1636070400,1633722170,0.7832052929687501,False
35,TSLA211105P00620000,620,USD,9.56,-1.2399998,-11.481479,207.0,343,9.35,10.15,REGULAR,1636070400,1633722170,0.7642540664672851,False
36,TSLA211105P00625000,625,USD,10.32,-0.9300003,-8.266669,65.0,97,9.8,10.65,REGULAR,1636070400,1633720676,0.756594230957031,False
37,TSLA211105P00630000,630,USD,11.3,-0.3699999,-3.1705215,33.0,139,10.25,11.35,REGULAR,1636070400,1633716255,0.750734914550781,False
38,TSLA211105P00635000,635,USD,11.89,-2.46,-17.142859,5.0,75,10.75,11.8,REGULAR,1636070400,1633715102,0.742068009033203,False
39,TSLA211105P00640000,640,USD,12.2,-0.05000019,-0.40816483000000003,75.0,334,11.25,12.35,REGULAR,1636070400,1633718033,0.734072483520507,False
40,TSLA211105P00645000,645,USD,12.4,-0.52000046,-4.024771,20.0,73,11.8,12.9,REGULAR,1636070400,1633723006,0.726076958007812,False
41,TSLA211105P00650000,650,USD,12.85,-0.9499998,-6.884056,33.0,351,12.35,13.4,REGULAR,1636070400,1633722838,0.717135397033691,False
42,TSLA211105P00655000,655,USD,14.4,0.0,0.0,89.0,68,12.85,13.95,REGULAR,1636070400,1633705280,0.707736076965332,False
43,TSLA211105P00660000,660,USD,14.0,-1.0,-6.666667,282.0,185,13.45,14.5,REGULAR,1636070400,1633723019,0.698886067810058,False
44,TSLA211105P00665000,665,USD,14.75,-0.05000019,-0.33783913,15.0,111,14.05,15.15,REGULAR,1636070400,1633718053,0.6904938177490231,False
45,TSLA211105P00670000,670,USD,14.59,-1.3099995,-8.238991,55.0,166,14.7,15.5,REGULAR,1636070400,1633721971,0.6793550131225581,False
46,TSLA211105P00675000,675,USD,15.3,-0.9199991,-5.6720047000000005,28.0,333,15.35,16.3,REGULAR,1636070400,1633723049,0.671786729431152,False
47,TSLA211105P00680000,680,USD,15.85,-1.5799999,-9.06483,43.0,195,16.0,17.05,REGULAR,1636070400,1633721475,0.6632418930053711,False
48,TSLA211105P00685000,685,USD,17.8,0.0,0.0,21.0,66,16.65,17.85,REGULAR,1636070400,1633714750,0.6545749874877931,False
49,TSLA211105P00690000,690,USD,18.25,-0.5,-2.6666667,27.0,178,17.65,18.4,REGULAR,1636070400,1633719269,0.646213254699706,False
50,TSLA211105P00695000,695,USD,19.0,-0.20999908,-1.0931759,110.0,110,18.4,19.2,REGULAR,1636070400,1633723092,0.637302210998535,False
51,TSLA211105P00700000,700,USD,19.5,-0.8500004,-4.176906,560.0,458,18.95,19.9,REGULAR,1636070400,1633723148,0.625553060913085,False
52,TSLA211105P00705000,705,USD,20.88,-0.22000122,-1.0426598,4.0,101,19.85,21.1,REGULAR,1636070400,1633706349,0.619724261779785,False
53,TSLA211105P00710000,710,USD,20.97,-0.12000084,-0.568994,52.0,250,20.5,21.75,REGULAR,1636070400,1633722647,0.6073647662353511,False
54,TSLA211105P00715000,715,USD,21.36,-0.34000015,-1.566821,20.0,184,21.4,22.4,REGULAR,1636070400,1633721309,0.5963480307006831,False
55,TSLA211105P00720000,720,USD,22.77,-0.35000038,-1.5138422999999999,39.0,96,22.35,23.3,REGULAR,1636070400,1633722647,0.5869029347229,False
56,TSLA211105P00725000,725,USD,24.18,0.48999977,2.0683823,18.0,292,23.3,24.65,REGULAR,1636070400,1633723133,0.579929737854003,False
57,TSLA211105P00730000,730,USD,24.0,-0.75,-3.030303,80.0,145,24.3,25.65,REGULAR,1636070400,1633720972,0.570225245056152,False
58,TSLA211105P00735000,735,USD,26.05,0.62999916,2.4783602,41.0,87,25.4,26.7,REGULAR,1636070400,1633709855,0.560856442260742,False
59,TSLA211105P00740000,740,USD,27.4,-0.3199997,-1.1544,44.0,505,26.75,28.0,REGULAR,1636070400,1633722780,0.554051090393066,False
60,TSLA211105P00745000,745,USD,26.97,-1.8100014,-6.289094,204.0,70,27.7,29.2,REGULAR,1636070400,1633721971,0.543278493041992,False
61,TSLA211105P00750000,750,USD,29.76,-0.13999939,-0.46822542,318.0,2254,29.3,30.4,REGULAR,1636070400,1633723188,0.535862795715332,False
62,TSLA211105P00755000,755,USD,31.11,1.6100006,5.457629,248.0,41,30.65,31.8,REGULAR,1636070400,1633723191,0.52731795928955,False
63,TSLA211105P00760000,760,USD,31.75,0.10000038,0.31595698,64.0,141,31.4,33.2,REGULAR,1636070400,1633718075,0.514317601013183,False
64,TSLA211105P00765000,765,USD,34.01,0.20999908,0.6212991,198.0,94,33.55,34.7,REGULAR,1636070400,1633723133,0.50954164779663,False
65,TSLA211105P00770000,770,USD,34.5,-1.1500015,-3.2258105,431.0,180,35.05,36.35,REGULAR,1636070400,1633720583,0.500828966369628,False
66,TSLA211105P00775000,775,USD,38.05,1.0,2.6990553999999998,28.0,150,35.9,38.3,REGULAR,1636070400,1633714409,0.503194055023193,False
67,TSLA211105P00780000,780,USD,37.77,-1.1300010999999999,-2.904887,199.0,177,37.65,40.1,REGULAR,1636070400,1633720407,0.495152753601074,False
68,TSLA211105P00785000,785,USD,41.0,0.9900017,2.4743857,1680.0,88,39.55,42.1,REGULAR,1636070400,1633723109,0.48843895355224604,False
69,TSLA211105P00790000,790,USD,43.1,0.34999847,0.8187098500000001,38.0,1116,41.55,44.2,REGULAR,1636070400,1633722792,0.48184722259521406,True
70,TSLA211105P00795000,795,USD,43.94,-0.670002,-1.5019099,11.0,108,43.75,46.45,REGULAR,1636070400,1633722288,0.475911613006591,True
71,TSLA211105P00800000,800,USD,47.29,0.69000244,1.480692,65.0,113,46.65,48.45,REGULAR,1636070400,1633722636,0.465978240661621,True
72,TSLA211105P00805000,805,USD,50.05,0.54999924,1.1111095,4.0,13,48.7,51.4,REGULAR,1636070400,1633722854,0.465917206115722,True
73,TSLA211105P00810000,810,USD,47.7,0.0,0.0,10.0,26,51.6,53.65,REGULAR,1636070400,1633633734,0.45657892059326105,True
74,TSLA211105P00815000,815,USD,55.45,2.6500015,5.0189424,2.0,28,53.7,56.5,REGULAR,1636070400,1633722916,0.45306943420410106,True
75,TSLA211105P00820000,820,USD,56.95,5.7400017,11.208752,1.0,27,57.1,59.35,REGULAR,1636070400,1633703611,0.448369774169921,True
76,TSLA211105P00825000,825,USD,70.1,0.0,0.0,1.0,1,59.25,63.05,REGULAR,1636070400,1633528076,0.452779520111084,True
77,TSLA211105P00830000,830,USD,65.89,-10.279999,-13.496126,19.0,1,62.65,65.45,REGULAR,1636070400,1633713732,0.44016062774658204,True
78,TSLA211105P00835000,835,USD,67.25,-9.650002,-12.548767,30.0,2,65.9,69.55,REGULAR,1636070400,1633716164,0.44745425598144506,True
79,TSLA211105P00840000,840,USD,71.99,-0.76000214,-1.0446764,26.0,7,70.4,73.1,REGULAR,1636070400,1633714560,0.44690494506835904,True
80,TSLA211105P00845000,845,USD,77.69,5.540001,7.678449,25.0,17,72.55,76.7,REGULAR,1636070400,1633705257,0.445897875061035,True
81,TSLA211105P00850000,850,USD,80.79,-5.709999,-6.601155,16.0,32,77.45,80.3,REGULAR,1636070400,1633705191,0.44382270050048805,True
82,TSLA211105P00855000,855,USD,81.79,-6.7699966,-7.6445312,16.0,20,80.1,84.15,REGULAR,1636070400,1633711163,0.44406683868408203,True
83,TSLA211105P00860000,860,USD,81.92,0.0,0.0,2.0,12,84.0,88.05,REGULAR,1636070400,1633631719,0.444005804138183,True
84,TSLA211105P00870000,870,USD,82.53,0.0,0.0,1.0,4,92.6,95.05,REGULAR,1636070400,1633633445,0.42816733947753904,True
85,TSLA211105P00880000,880,USD,93.45,0.0,0.0,4.0,5,100.5,103.35,REGULAR,1636070400,1633357050,0.427526476745605,True
86,TSLA211105P00890000,890,USD,101.69,0.0,0.0,1.0,1,109.2,112.7,REGULAR,1636070400,1633354429,0.44205269866943303,True
87,TSLA211105P00900000,900,USD,111.55,0.0,0.0,2.0,4,118.1,122.15,REGULAR,1636070400,1633634767,0.456762024230957,True
88,TSLA211105P00920000,920,USD,159.43,0.0,0.0,1.0,1,136.1,140.55,REGULAR,1636070400,1632495999,0.47058634887695305,True
89,TSLA211105P00940000,940,USD,161.5,0.0,0.0,1.0,2,155.1,159.35,REGULAR,1636070400,1633547672,0.48492946716308505,True
90,TSLA211105P00960000,960,USD,179.9,0.0,0.0,,2,174.2,178.65,REGULAR,1636070400,1632941791,0.5058032818603511,True
91,TSLA211105P00980000,980,USD,200.75,0.0,0.0,1.0,1,193.65,198.15,REGULAR,1636070400,1633548129,0.528080891113281,True
92,TSLA211105P01075000,1075,USD,294.39,0.0,0.0,,1,287.65,292.25,REGULAR,1636070400,1632839272,0.6514927429199221,True
93,TSLA211105P01150000,1150,USD,368.83,0.0,0.0,,1,362.4,367.0,REGULAR,1636070400,1632839272,0.527836752929687,True
